,geo_value,time_value,direction,issue,lag,value,stderr,sample_size
0,16860,2020-02-01,,20200506,95,0.0,,
0,16860,2020-02-02,,20200506,94,0.0,,
0,16860,2020-02-03,0,20200506,93,0.0,,
0,16860,2020-02-04,0,20200506,92,0.0,,
0,16860,2020-02-05,0,20200506,91,0.0,,
0,16860,2020-02-06,0,20200506,90,0.0,,
0,16860,2020-02-07,0,20200506,89,0.0,,
0,16860,2020-02-08,0,20200506,88,0.0,,
0,16860,2020-02-09,0,20200506,87,0.0,,
0,16860,2020-02-10,0,20200506,86,0.0,,
0,16860,2020-02-11,0,20200506,85,0.0,,
0,16860,2020-02-12,0,20200506,84,0.0,,
0,16860,2020-02-13,0,20200506,83,0.0,,
0,16860,2020-02-14,0,20200506,82,0.0,,
0,16860,2020-02-15,0,20200506,81,0.0,,
0,16860,2020-02-16,0,20200506,80,0.0,,
0,16860,2020-02-17,0,20200506,79,0.0,,
0,16860,2020-02-18,0,20200506,78,0.0,,
0,16860,2020-02-19,0,20200506,77,0.0,,
0,16860,2020-02-20,0,20200506,76,0.0,,
0,16860,2020-02-21,0,20200506,75,0.0,,
0,16860,2020-02-22,0,20200506,74,0.0,,
0,16860,2020-02-23,0,20200506,73,0.0,,
0,16860,2020-02-24,0,20200506,72,0.0,,
0,16860,2020-02-25,0,20200506,71,0.0,,
0,16860,2020-02-26,0,20200506,70,14.243614662899,,
0,16860,2020-02-27,1,20200506,69,26.916487936685,,
0,16860,2020-02-28,1,20200506,68,23.255357748666,,
0,16860,2020-02-29,1,20200506,67,19.339000776904,,
0,16860,2020-03-01,1,20200506,66,15.383332075817,,
0,16860,2020-03-02,0,20200506,65,11.587977406316,,
0,16860,2020-03-03,0,20200506,64,22.180762741457,,
0,16860,2020-03-04,0,20200506,63,17.45474407945,,
0,16860,2020-03-05,0,20200506,62,13.073728277506,,
0,16860,2020-03-06,0,20200506,61,24.463108198568,,
0,16860,2020-03-07,0,20200506,60,19.266242105638,,
0,16860,2020-03-08,0,20200506,59,14.479396018893,,
0,16860,2020-03-09,0,20200506,58,10.218203281646,,
0,16860,2020-03-10,0,20200506,57,21.477182616117,,
0,16860,2020-03-11,0,20200506,56,16.647240542457,,
0,16860,2020-03-12,0,20200506,55,12.268369655946,,
0,16860,2020-03-13,0,20200506,54,23.197702772424,,
0,16860,2020-03-14,0,20200506,53,18.140726555595,,
0,16860,2020-03-15,0,20200506,52,13.499915977353,,
0,16860,2020-03-16,0,20200506,51,23.83822606862,,
0,16860,2020-03-17,0,20200506,50,32.651527745344,,
0,16860,2020-03-18,1,20200506,49,54.550490284631,,
0,16860,2020-03-19,1,20200506,48,59.371185382134,,
0,16860,2020-03-20,1,20200506,47,48.170011416638,,
0,16860,2020-03-21,1,20200506,46,70.059598275135,,
0,16860,2020-03-22,1,20200506,45,56.040444390685,,
0,16860,2020-03-23,1,20200506,44,74.137852417359,,
0,16860,2020-03-24,1,20200506,43,84.730983309846,,
0,16860,2020-03-25,1,20200506,42,66.659316962078,,
0,16860,2020-03-26,0,20200506,41,49.83379277968,,
0,16860,2020-03-27,-1,20200506,40,34.771134503602,,
0,16860,2020-03-28,-1,20200506,39,21.82831361786,,
0,16860,2020-03-29,-1,20200506,38,27.140258037958,,
0,16860,2020-03-30,-1,20200506,37,16.90030795746,,
0,16860,2020-03-31,-1,20200506,36,8.6744837504795,,
0,16860,2020-04-01,-1,20200506,35,2.3593191905556,,
0,16860,2020-04-02,0,20200506,34,39.012519244073,,
0,16860,2020-04-03,0,20200506,33,30.915840735159,,
0,16860,2020-04-04,0,20200506,32,23.535818350164,,
0,16860,2020-04-05,0,20200506,31,16.92772408065,,
0,16860,2020-04-06,0,20200506,30,25.143815328585,,
0,16860,2020-04-07,0,20200506,29,18.546195668003,,
0,16860,2020-04-08,-1,20200506,28,12.674599220724,,
0,16860,2020-04-09,0,20200506,27,36.409461604595,,
0,16860,2020-04-10,0,20200506,26,28.75024691915,,
0,16860,2020-04-11,0,20200506,25,21.62073997421,,
0,16860,2020-04-12,0,20200506,24,15.206337012069,,
0,16860,2020-04-13,0,20200506,23,9.6443706091423,,
0,16860,2020-04-14,0,20200506,22,34.863722539555,,
0,16860,2020-04-15,0,20200506,21,41.937291422463,,
0,16860,2020-04-16,1,20200506,20,33.437477453817,,
0,16860,2020-04-17,1,20200506,19,25.451388165076,,
0,16860,2020-04-18,0,20200506,18,18.2001923291,,
0,16860,2020-04-19,0,20200506,17,11.854830111225,,
0,16860,2020-04-20,-1,20200506,16,6.5249463813222,,
0,16860,2020-04-21,-1,20200506,15,2.2544077607759,,
0,16860,2020-04-22,-1,20200506,14,0.0,,
0,16860,2020-04-23,-1,20200506,13,0.0,,
0,16860,2020-04-24,-1,20200506,12,0.0,,
0,16860,2020-04-25,0,20200506,11,0.0,,
0,16860,2020-04-26,0,20200506,10,0.0,,
0,16860,2020-04-27,0,20200506,9,0.0,,
0,16860,2020-04-28,0,20200506,8,0.0,,
0,16860,2020-04-29,1,20200506,7,21.930821289217,,
0,16860,2020-04-30,1,20200506,6,19.445581510593,,
0,16860,2020-05-01,1,20200506,5,16.611933933836,,
0,16860,2020-05-02,1,20200506,4,29.862139305355,,
0,16860,2020-05-03,1,20200507,4,24.838222094655,,
0,16860,2020-05-04,1,20200508,4,19.747597197906,,
0,16860,2020-05-05,0,20200511,6,14.851093608399,,
0,16860,2020-05-06,0,20200511,5,24.119904835094,,
0,16860,2020-05-07,0,20200511,4,18.542283626069,,
0,16860,2020-05-08,0,20200511,3,13.463498886489,,
0,16860,2020-05-09,0,20200513,4,9.0232962612955,,
0,16860,2020-05-10,-1,20200515,5,5.3022373694778,,
0,16860,2020-05-11,-1,20200515,4,2.3250439384621,,
0,16860,2020-05-12,-1,20200515,3,0.068282766805555,,
0,16860,2020-05-13,-1,20200518,5,0.0,,
0,16860,2020-05-14,-1,20200518,4,0.0,,
0,16860,2020-05-15,0,20200518,3,0.0,,
0,16860,2020-05-16,0,20200519,3,0.0,,
0,16860,2020-05-17,0,20200521,4,0.0,,
0,16860,2020-05-18,0,20200521,3,10.574527028394,,
0,16860,2020-05-19,0,20200523,4,9.2865427298154,,
0,16860,2020-05-20,0,20200524,4,7.86932617493,,
0,16860,2020-05-21,0,20200529,8,6.3837307920655,,
0,16860,2020-05-22,0,20200529,7,4.9016381402542,,
0,16860,2020-05-23,0,20200529,6,3.4948491832504,,
0,16860,2020-05-24,0,20200529,5,2.225703892114,,
0,16860,2020-05-25,0,20200529,4,18.109887592245,,
0,16860,2020-05-26,0,20200530,4,15.173918528516,,
0,16860,2020-05-27,0,20200531,4,12.239888904325,,
0,16860,2020-05-28,0,20200531,3,9.4274094477122,,
0,16860,2020-05-29,0,20200602,4,6.8385497579138,,
0,16860,2020-05-30,0,20200607,8,4.5517193803757,,
0,16860,2020-05-31,0,20200607,7,19.93475793,,
0,16860,2020-06-01,0,20200607,6,16.27400789,,
0,16860,2020-06-02,0,20200607,5,12.7665565,,
0,16860,2020-06-03,0,20200609,6,9.51999681,,
0,16860,2020-06-04,0,20200610,6,6.62105451,,
0,16860,2020-06-05,0,20200610,5,24.73231223,,
0,16860,2020-06-06,0,20200611,5,2.08103298,,
0,16860,2020-06-07,0,20200612,5,0.47686649,,
0,16860,2020-06-08,0,20200613,5,0.0,,
0,16860,2020-06-09,0,20200614,5,12.64820938,,
0,16860,2020-06-10,0,20200615,5,10.46136141,,
0,16860,2020-06-11,0,20200616,5,8.35943339,,
0,16860,2020-06-12,0,20200617,5,6.38615974,,
0,16860,2020-06-13,1,20200618,5,21.87523454,,
0,16860,2020-06-14,1,20200619,5,18.18552415,,
0,16860,2020-06-15,1,20200620,5,46.40708124,,
0,16860,2020-06-16,1,20200621,5,39.03175863,,
0,16860,2020-06-17,1,20200622,5,31.54810675,,
0,16860,2020-06-18,1,20200623,5,24.29978339,,
0,16860,2020-06-19,0,20200625,6,17.58662488,,
0,16860,2020-06-20,-1,20200625,5,11.64232201,,
0,16860,2020-06-21,-1,20200626,5,24.84410071,,
0,16860,2020-06-22,-1,20200627,5,18.6044343,,
0,16860,2020-06-23,0,20200628,5,13.12298755,,
0,16860,2020-06-24,0,20200629,5,8.47016615,,
0,16860,2020-06-25,0,20200630,5,37.16059645,,
0,16860,2020-06-26,1,20200701,5,30.23063402,,
0,16860,2020-06-27,0,20200702,5,23.64973703,,
0,16860,2020-06-28,0,20200703,5,17.58109695,,
0,16860,2020-06-29,1,20200704,5,44.9305158,,
0,16860,2020-06-30,1,20200705,5,36.28895101,,
0,16860,2020-07-01,0,20200706,5,28.04616138,,
0,16860,2020-07-02,0,20200707,5,20.46554628,,
0,16860,2020-07-03,0,20200708,5,48.36340013,,
0,16860,2020-07-04,1,20200709,5,57.25623081,,
0,16860,2020-07-05,0,20200710,5,45.71662416,,
0,16860,2020-07-06,1,20200711,5,67.49487969,,
0,16860,2020-07-07,1,20200712,5,53.64966012,,
0,16860,2020-07-08,1,20200713,5,40.63695656,,
0,16860,2020-07-09,-1,20200714,5,28.8611441,,
0,16860,2020-07-10,-1,20200715,5,18.62026508,,
0,16860,2020-07-11,-1,20200716,5,10.0920347,,
0,16860,2020-07-12,-1,20200716,4,3.33257936,,
0,16860,2020-07-13,,20200717,4,15.06896844,,
0,16860,2020-07-14,,20200718,4,26.19238068,,
0,16860,2020-07-15,,20200719,4,36.80968584,,
0,16860,2020-07-16,,20200720,4,63.38380291,,
0,16860,2020-07-17,,20200721,4,52.16087511,,
0,16860,2020-07-18,,20200722,4,41.20349215,,
0,16860,2020-07-19,,20200723,4,49.84150634,,
