,geo_value,time_value,direction,issue,lag,value,stderr,sample_size
0,77,2020-02-01,,20200506,95,0.0,,
0,77,2020-02-02,,20200506,94,0.0,,
0,77,2020-02-03,0,20200506,93,0.0,,
0,77,2020-02-04,1,20200506,92,23.856516872882,,
0,77,2020-02-05,0,20200506,91,0.0,,
0,77,2020-02-06,0,20200506,90,12.070824351003,,
0,77,2020-02-07,0,20200506,89,0.0,,
0,77,2020-02-08,0,20200506,88,0.0,,
0,77,2020-02-09,0,20200506,87,0.0,,
0,77,2020-02-10,0,20200506,86,0.0,,
0,77,2020-02-11,0,20200506,85,0.0,,
0,77,2020-02-12,0,20200506,84,0.0,,
0,77,2020-02-13,0,20200506,83,12.190996681675,,
0,77,2020-02-14,0,20200506,82,0.0,,
0,77,2020-02-15,0,20200506,81,0.0,,
0,77,2020-02-16,0,20200506,80,0.0,,
0,77,2020-02-17,0,20200506,79,0.0,,
0,77,2020-02-18,0,20200506,78,0.0,,
0,77,2020-02-19,0,20200506,77,0.0,,
0,77,2020-02-20,0,20200506,76,23.121882318508,,
0,77,2020-02-21,0,20200506,75,0.0,,
0,77,2020-02-22,0,20200506,74,0.0,,
0,77,2020-02-23,0,20200506,73,12.902657011533,,
0,77,2020-02-24,0,20200506,72,11.45495972757,,
0,77,2020-02-25,0,20200506,71,0.15083487127188,,
0,77,2020-02-26,0,20200506,70,0.0,,
0,77,2020-02-27,0,20200506,69,0.0,,
0,77,2020-02-28,1,20200506,68,45.016048981465,,
0,77,2020-02-29,0,20200506,67,19.146418851958,,
0,77,2020-03-01,1,20200506,66,24.984033641629,,
0,77,2020-03-02,0,20200506,65,0.0,,
0,77,2020-03-03,0,20200506,64,0.0,,
0,77,2020-03-04,-1,20200506,63,0.0,,
0,77,2020-03-05,-1,20200506,62,0.0,,
0,77,2020-03-06,-1,20200506,61,0.64177382827319,,
0,77,2020-03-07,0,20200506,60,0.0,,
0,77,2020-03-08,0,20200506,59,12.348645790342,,
0,77,2020-03-09,1,20200506,58,44.310388381194,,
0,77,2020-03-10,1,20200506,57,0.1475695035341,,
0,77,2020-03-11,0,20200506,56,11.803338238246,,
0,77,2020-03-12,0,20200506,55,0.14189829763367,,
0,77,2020-03-13,0,20200506,54,38.544582003219,,
0,77,2020-03-14,0,20200506,53,18.307971353524,,
0,77,2020-03-15,0,20200506,52,47.911168205475,,
0,77,2020-03-16,1,20200506,51,10.331957472733,,
0,77,2020-03-17,1,20200506,50,37.103197069164,,
0,77,2020-03-18,0,20200506,49,20.796821554598,,
0,77,2020-03-19,0,20200506,48,37.276671951364,,
0,77,2020-03-20,1,20200506,47,72.329782510323,,
0,77,2020-03-21,1,20200506,46,82.914111578873,,
0,77,2020-03-22,1,20200506,45,48.382770219085,,
0,77,2020-03-23,1,20200506,44,66.425135699808,,
