,geo_value,time_value,direction,issue,lag,value,stderr,sample_size
0,42003,2020-01-22,,20200514,113,0,,
0,42003,2020-01-23,,20200514,112,0,,
0,42003,2020-01-24,0,20200514,111,0,,
0,42003,2020-01-25,0,20200514,110,0,,
0,42003,2020-01-26,0,20200514,109,0,,
0,42003,2020-01-27,0,20200514,108,0,,
0,42003,2020-01-28,0,20200514,107,0,,
0,42003,2020-01-29,0,20200514,106,0,,
0,42003,2020-01-30,0,20200514,105,0,,
0,42003,2020-01-31,0,20200514,104,0,,
0,42003,2020-02-01,0,20200514,103,0,,
0,42003,2020-02-02,0,20200514,102,0,,
0,42003,2020-02-03,0,20200514,101,0,,
0,42003,2020-02-04,0,20200514,100,0,,
0,42003,2020-02-05,0,20200514,99,0,,
0,42003,2020-02-06,0,20200514,98,0,,
0,42003,2020-02-07,0,20200514,97,0,,
0,42003,2020-02-08,0,20200514,96,0,,
0,42003,2020-02-09,0,20200514,95,0,,
0,42003,2020-02-10,0,20200514,94,0,,
0,42003,2020-02-11,0,20200514,93,0,,
0,42003,2020-02-12,0,20200514,92,0,,
0,42003,2020-02-13,0,20200514,91,0,,
0,42003,2020-02-14,0,20200514,90,0,,
0,42003,2020-02-15,0,20200514,89,0,,
0,42003,2020-02-16,0,20200514,88,0,,
0,42003,2020-02-17,0,20200514,87,0,,
0,42003,2020-02-18,0,20200514,86,0,,
0,42003,2020-02-19,0,20200514,85,0,,
0,42003,2020-02-20,,20200805,167,0,,
0,42003,2020-02-21,,20200805,166,0,,
0,42003,2020-02-22,,20200805,165,0,,
0,42003,2020-02-23,,20200805,164,0,,
0,42003,2020-02-24,,20200805,163,0,,
0,42003,2020-02-25,,20200805,162,0,,
0,42003,2020-02-26,,20200805,161,0,,
0,42003,2020-02-27,,20200805,160,0,,
0,42003,2020-02-28,,20200805,159,0,,
0,42003,2020-02-29,,20200805,158,0,,
0,42003,2020-03-01,,20200805,157,0,,
0,42003,2020-03-02,,20200805,156,0,,
0,42003,2020-03-03,,20200805,155,0,,
0,42003,2020-03-04,,20200805,154,0,,
0,42003,2020-03-05,,20200805,153,0,,
0,42003,2020-03-06,,20200805,152,0,,
0,42003,2020-03-07,,20200805,151,0,,
0,42003,2020-03-08,,20200805,150,0,,
0,42003,2020-03-09,,20200805,149,0,,
0,42003,2020-03-10,,20200805,148,0,,
0,42003,2020-03-11,,20200805,147,0,,
0,42003,2020-03-12,,20200805,146,0,,
0,42003,2020-03-13,,20200805,145,0,,
0,42003,2020-03-14,,20200805,144,2,,
0,42003,2020-03-15,,20200805,143,0,,
0,42003,2020-03-16,,20200805,142,4,,
0,42003,2020-03-17,,20200805,141,4,,
0,42003,2020-03-18,,20200805,140,3,,
0,42003,2020-03-19,,20200805,139,5,,
0,42003,2020-03-20,,20200805,138,10,,
0,42003,2020-03-21,,20200805,137,3,,
0,42003,2020-03-22,,20200805,136,9,,
0,42003,2020-03-23,,20200805,135,8,,
0,42003,2020-03-24,,20200805,134,10,,
0,42003,2020-03-25,,20200805,133,30,,
0,42003,2020-03-26,,20200805,132,45,,
0,42003,2020-03-27,,20200805,131,25,,
0,42003,2020-03-28,,20200805,130,61,,
0,42003,2020-03-29,,20200805,129,46,,
0,42003,2020-03-30,,20200805,128,25,,
0,42003,2020-03-31,,20200805,127,35,,
0,42003,2020-04-01,,20200805,126,31,,
0,42003,2020-04-02,,20200805,125,63,,
0,42003,2020-04-03,,20200805,124,57,,
0,42003,2020-04-04,,20200805,123,76,,
0,42003,2020-04-05,,20200805,122,53,,
0,42003,2020-04-06,,20200805,121,37,,
0,42003,2020-04-07,,20200805,120,47,,
0,42003,2020-04-08,,20200805,119,31,,
0,42003,2020-04-09,,20200805,118,39,,
0,42003,2020-04-10,,20200805,117,29,,
0,42003,2020-04-11,,20200805,116,48,,
0,42003,2020-04-12,,20200805,115,21,,
0,42003,2020-04-13,,20200805,114,19,,
0,42003,2020-04-14,,20200805,113,17,,
0,42003,2020-04-15,,20200805,112,11,,
0,42003,2020-04-16,,20200805,111,21,,
0,42003,2020-04-17,,20200805,110,22,,
0,42003,2020-04-18,,20200805,109,62,,
0,42003,2020-04-19,,20200805,108,26,,
0,42003,2020-04-20,,20200805,107,7,,
