state,county,business_closed,business_closed_date,business_closed_url,business_open,business_open_date,business_open_url,school_closed,school_closed_date,school_closed_url,school_open,school_open_date,school_open_url,college_closed,college_closed_date,college_closed_url,college_open,college_open_date,college_open_url,religion_closed,religion_closed_date,religion_closed_url,religion_open,religion_open_date,religion_open_url,lockdown_closed,lockdown_closed_date,lockdown_closed_url,lockdown_open,lockdown_open_date,lockdown_open_url
Alabama,Autauga County,Yes,2020-03-28,https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf,No,,,Yes,2020-03-15,https://www.montgomeryadvertiser.com/story/news/2020/03/15/autauga-county-schools-close-monday-amid-covid-19-alabama-coronavirus-update-crisis/5054787002/,No,,,Yes,2020-03-13,https://twitter.com/CentralAlabama1/,No,,,Yes,2020-03-09,https://www.wsfa.com/2020/03/13/churches-cancel-or-modify-services-prevent-coronavirus-spread/,No,,,Yes,2020-04-04,https://www.wtva.com/content/news/Alabama-governor-issues-statewide-shelter-in-place-569361831.html,No,,
Alabama,Baldwin County,Yes,2020-03-28,https://bloximages.newyork1.vip.townnews.com/fox10tv.com/content/tncms/assets/v3/editorial/9/15/91523132-75f7-11ea-bb40-df32484a275d/5e87b3cfbd525.pdf.pdf,No,,,Yes,2020-03-18,https://www.bcbe.org/Page/270#calendar337/20200307/month,No,,,Yes,2020-03-23,http://www.coastalalabama.edu/coronavirus/press_releases/,No,,,Yes,2020-03-28,https://bloximages.newyork1.vip.townnews.com/fox10tv.com/content/tncms/assets/v3/editorial/9/15/91523132-75f7-11ea-bb40-df32484a275d/5e87b3cfbd525.pdf.pdf,No,,,Yes,2020-04-04,https://www.alabamanews.net/2020/04/28/alabama-stay-at-home-order-expires-april-30-safer-at-home-order-becomes-effective-until-may-15/,No,,
Alabama,Madison County,Yes,2020-03-27,https://whnt.com/news/coronavirus/list-of-business-types-ordered-to-close-in-alabama/,No,,,Yes,2020-03-19,https://www.al.com/news/2020/03/coronavirus-shutdowns-whats-open-whats-closed.html,No,,,Yes,2020-03-16,https://www.waff.com/2020/03/12/north-alabama-colleges-universities-react-covid-outbreak/,No,,,Yes,2020-03-15,https://www.waaytv.com/content/news/Church-services-canceled-altered-in-North-Alabama-by-coronavirus-568803241.html,No,,,Yes,2020-04-03,https://abc3340.com/news/coronavirus/alabama-governor-orders-a-statewide-shelter-in-place,No,,
Alabama,Tuscaloosa County,Yes,2020-03-28,https://www.al.com/news/2020/03/all-non-essential-businesses-closed-statewide-ivey-doesnt-issue-shelter-in-place.html,No,,,Yes,2020-03-18,https://www.tuscaloosanews.com/news/20200326/alabama-schools-to-close-for-rest-of-year,No,,,Yes,2020-03-14,https://healthinfo.ua.edu/campus-messages/,No,,,Yes,2020-03-09,https://www.al.com/news/2020/03/religious-congregations-react-to-covid-19-scare.html,No,,,Yes,2020-04-04,https://www.tuscaloosanews.com/news/20200403/alabama-stay-home-order-begins-saturday,No,,
Arizona,Coconino County,Yes,2020-03-31,https://www.fisherphillips.com/resources-alerts-arizona-under-stay-at-home-order-shutting,No,,,Yes,2020-03-16,https://www.azcentral.com/story/news/local/arizona-education/2020/03/15/all-arizona-schools-close-due-coronavirus/5055982002/,No,,,Yes,2020-03-16,https://azdailysun.com/news/local/nau-ccc-to-move-online-tests-in-county-negative-lowell/article_52561103-1754-5a6b-9040-5b54bc2bab03.html,No,,,Yes,2020-03-22,https://www.youtube.com/watch?v=tgU-8npxP6U&fbclid=IwAR271BOzGWsjxu-5Aq08nBsE_iYNGjPCzsdjpt82QQA_YqGFUv1GMuwqmSs,No,,,Yes,2020-03-31,https://www.12news.com/article/news/health/coronavirus/arizona-shelter-in-place-order-ducey/75-fc2b364a-c0e8-45df-87ae-02cba1c8bb1c,No,,
Arizona,Pima County,Yes,2020-03-20,https://www.azcentral.com/story/news/local/arizona-health/2020/03/19/gov-doug-ducey-orders-bars-theaters-gyms-closed-national-guard-help-stores/2881586001/,No,,,Yes,2020-03-20,https://www.azfamily.com/news/continuing_coverage/coronavirus_coverage/schools-will-be-closed-until-april-10-in-arizona/article_aee0a0b2-6af8-11ea-9dcb-f734d8440c5f.html,No,,,Yes,2020-03-16,https://www.kold.com/2020/03/17/pima-community-college-close-all-campuses-after-community-member-potentially-exposed-covid-/,No,,,Yes,2020-03-16,https://kvoa.com/coronavirus-coverage/2020/03/16/diocese-of-tucson-suspends-mass-church-gatherings-in-response-to-covid-19/,No,,,Yes,2020-03-28,https://www.google.com/amp/s/www.kold.com/2020/03/28/tucson-mayor-romero-advises-residents-stay-home-orders-non-essential-business-close/%3foutputType=amp,No,,
Arizona,Maricopa County,Yes,2020-03-31,https://azgovernor.gov/sites/default/files/eo_2020-18_stay_home_stay_healthy_stay_connected_1.0.pdf,No,,,Yes,2020-03-07,https://www.cusd80.com/cms/lib/AZ01001175/Centricity/Domain/104/Approved_CALENDAR_2019-20.pdf,No,,,Yes,2020-03-07,https://eoss.asu.edu/health/announcements/coronavirus#covid-archive,No,,,Yes,2020-03-12,https://www.azcentral.com/story/news/local/arizona-health/2020/03/12/here-arizona-religious-institutions-closing-due-coronavirus/5038586002/,No,,,Yes,2020-03-31,https://azgovernor.gov/sites/default/files/eo_2020-18_stay_home_stay_healthy_stay_connected_1.0.pdf,No,,
Arizona,Mohave County,Yes,2020-03-25,https://kdminer.com/news/2020/mar/25/mohave-county-covid-19-case-triggers-executive-ord/,No,,,Yes,2020-03-15,http://www.mohavedailynews.com/news/governor-orders-all-arizona-schools-to-close-for-weeks-over/article_e19e9a1a-674a-11ea-be3e-731c6ff25fd2.html,No,,,Yes,2020-03-13,https://www.mohave.edu/assets/Letter-to-Students-from-President-Klippenstein.pdf,No,,,Yes,2020-03-15,http://www.ccahavasu.com/,No,,,Yes,2020-03-18,https://www.azfamily.com/news/latest-arizona-coronavirus-news-updates-from-arizonas-family-newsroom/article_4d47117c-6488-11ea-9bac-17ba98abbfcc.html,No,,
Arizona,Yavapai County,Yes,2020-03-30,https://www.fisherphillips.com/resources-alerts-arizona-under-stay-at-home-order-shutting,No,,,Yes,2020-03-14,https://www.signalsaz.com/articles/pusd-announces-school-closure-for-student-safety/,No,,,Yes,2020-03-18,https://news.erau.edu/headlines/embry-riddle-extends-online-classes-offers-commencement-options-more,No,,,Yes,2020-03-21,https://www.facebook.com/photo?fbid=2342319556028767&set=a.1615234108737319,No,,,Yes,2020-03-30,https://www.fisherphillips.com/resources-alerts-arizona-under-stay-at-home-order-shutting,No,,
Arizona,Yuma County,Yes,2020-03-19,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#tab4,No,,,Yes,2020-03-15,https://www.azcentral.com/story/news/local/arizona-education/2020/03/15/all-arizona-schools-close-due-coronavirus/5055982002/,No,,,Yes,2020-03-15,https://www.azcentral.com/story/news/local/arizona-education/2020/03/15/all-arizona-schools-close-due-coronavirus/5055982002/,No,,,Yes,2020-04-30,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home,No,,,Yes,2020-04-30,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home,No,,
Arkansas,Pulaski County,Yes,2020-03-19,https://katv.com/news/local/coronavirus-cases-rise-to-46-in-arkansas,No,,,Yes,2020-03-12,https://www.thv11.com/article/news/education/schools-closing-through-march-30-as-advised-by-the-state/91-41e9515c-fcd2-4119-9274-eca9d67b86f9,No,,,Yes,2020-03-23,https://www.kark.com/news/health/coronavirus/list-arkansas-closings-schedule-changes-over-coronavirus-concerns/,No,,,Yes,2020-03-12,https://www.arkansasonline.com/news/2020/mar/12/coronavirus-cancellations/,No,,,Yes,2020-03-25,https://www.arkansasonline.com/news/2020/mar/25/state-sees-first-covid-19-deaths-202003/,No,,
California,Alameda County,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,,Yes,2020-03-13,https://patch.com/california/alameda/school-canceled-alameda-3-weeks-coronavirus,No,,,Yes,2020-03-10,https://news.berkeley.edu/2020/03/09/as-coronavirus-spreads-uc-berkeley-suspends-in-person-instruction/,No,,,Yes,2020-03-15,https://www.mercurynews.com/2020/03/13/coronavirus-bay-area-churches-temple-and-mosque-closures-and-live-streams/,No,,,Yes,2020-03-17,https://www.expressnews.com/local-politics/article/Bay-Area-must-shelter-in-place-Only-15135014.php,No,,
