FIPS Code,State,County Name,1993 Rural-urban Continuum Code,2003 Rural-urban Continuum Code,2000 Population ,Percent of workers in nonmetro counties commuting to central counties of adjacent metro areas,Description for 2003 codes
01001,AL,Autauga County,2,2,43671.00,0.00,"County in metro area of 250,000 to 1 million population"
01003,AL,Baldwin County,2,4,140415.00,23.11,"Nonmetro county with urban population of 20,000 or more, adjacent to a metro area"
01005,AL,Barbour County,6,6,29038.00,5.25,"Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area"
01007,AL,Bibb County,6,1,20826.00,0.00,County in metro area with 1 million population or more
01009,AL,Blount County,2,1,51024.00,0.00,County in metro area with 1 million population or more
01011,AL,Bullock County,6,6,11714.00,16.82,"Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area"
01013,AL,Butler County,7,6,21399.00,12.46,"Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area"
01015,AL,Calhoun County,3,3,112249.00,0.00,"County in metro area of fewer than 250,000 population"
01017,AL,Chambers County,5,6,36583.00,14.21,"Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area"
01019,AL,Cherokee County,6,8,23988.00,29.92,"Nonmetro county completely rural or less than 2,500 urban population, adj. to metro area"
01021,AL,Chilton County,6,1,39593.00,0.00,County in metro area with 1 million population or more
01023,AL,Choctaw County,9,9,15922.00,0.00,"Nonmetro county completely rural or less than 2,500 urban population, not adj. to metro area"
01025,AL,Clarke County,7,7,27867.00,0.00,"Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro area"
01027,AL,Clay County,9,9,14254.00,0.00,"Nonmetro county completely rural or less than 2,500 urban population, not adj. to metro area"
01029,AL,Cleburne County,6,8,14123.00,44.36,"Nonmetro county completely rural or less than 2,500 urban population, adj. to metro area"
01031,AL,Coffee County,4,6,43615.00,4.53,"Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area"
01033,AL,Colbert County,3,3,54984.00,0.00,"County in metro area of fewer than 250,000 population"
01035,AL,Conecuh County,7,9,14089.00,0.00,"Nonmetro county completely rural or less than 2,500 urban population, not adj. to metro area"
01037,AL,Coosa County,8,8,12202.00,9.66,"Nonmetro county completely rural or less than 2,500 urban population, adj. to metro area"
01039,AL,Covington County,7,7,37631.00,1.69,"Nonmetro county with urban population of 2,500-19,999, not adjacent to a metro area"
01041,AL,Crenshaw County,6,8,13665.00,22.35,"Nonmetro county completely rural or less than 2,500 urban population, adj. to metro area"
01043,AL,Cullman County,6,6,77483.00,15.91,"Nonmetro county with urban population of 2,500-19,999, adjacent to a metro area"
